|||FirstProcess||OTHER|0|||PSTests.Sequential|PowerShellHostingScenario|TestStartJobThrowTerminatingException||METHOD|1|
|System.Management.Automation|PSConverter|Invoke|object valueToConvert,System.Type resultType,bool recurse,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|82|FULL HAVOC||System.Management.Automation|LanguagePrimitives|ConvertAssignableFrom|object valueToConvert,System.Type resultType,bool recursion,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|73|
|System.Management.Automation|PSConverter|Invoke|object valueToConvert,System.Type resultType,bool recurse,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|82|FULL HAVOC||System.Management.Automation|LanguagePrimitives|ConvertStringToEnum|object valueToConvert,System.Type resultType,bool recursion,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|9|
|System.Threading.Tasks|Parallel|Invoke|System.Action[] actions|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|InitialSessionState|Bind_UpdateTypes|System.Management.Automation.ExecutionContext context,bool updateOnly|METHOD|1|
|System.Threading.Tasks|Parallel|ForEach|System.Collections.Generic.IEnumerable<System.Management.Automation.Runspaces.SessionStateTypeEntry> source,System.Action<System.Management.Automation.Runspaces.SessionStateTypeEntry> body|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|InitialSessionStateEntryCollection|SystemCollectionsGenericIEnumerable<T>GetEnumerator||METHOD|1|
|System.Threading.Tasks|Parallel|ForEach|System.Collections.Generic.IEnumerable<System.Management.Automation.Runspaces.SessionStateTypeEntry> source,System.Action<System.Management.Automation.Runspaces.SessionStateTypeEntry> body|METHOD|1|FULL HAVOC||System.Management.Automation|ExecutionContext|get_TypeTable||METHOD|1|
|System.Threading.Tasks|Parallel|ForEach|System.Collections.Generic.IEnumerable<System.Management.Automation.Runspaces.SessionStateTypeEntry> source,System.Action<System.Management.Automation.Runspaces.SessionStateTypeEntry> body|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|TypeTable|Update|string moduleName,string filePath,System.Collections.Concurrent.ConcurrentBag<string> errors,System.Management.Automation.AuthorizationManager authorizationManager,System.Management.Automation.Host.PSHost host,bool failToLoadFile|METHOD|1|
|System|Tuple|GetHashCode||METHOD|2|FULL HAVOC||System.Management.Automation.Language|TypeName|GetHashCode||METHOD|2|
|System|Tuple|GetHashCode||METHOD|2|FULL HAVOC||System.Management.Automation.Language|TypeResolutionState|GetHashCode||METHOD|2|
|System|Activator|CreateInstance|System.Type type|METHOD|27|Fresh.{Many}.{P;P.?}.{RV.?;RO.?}.{[RV;RO, RO, ?], [RO, RV, ?]}<EOF>||Microsoft.PowerShell|DeserializingTypeConverter|||PROPERTY|1|
|System|Activator|CreateInstance|System.Type type|METHOD|27|Fresh.{Many}.{P;P.?}.{RV.?;RO.?}.{[RV;RO, RO, ?], [RO, RV, ?]}<EOF>||Microsoft.PowerShell.Commands|FileSystemProvider|ctor||METHOD|26|
|System|EventHandler|Invoke|object? sender,System.Management.Automation.Runspaces.PipelineStateEventArgs e|METHOD|1|FULL HAVOC||System.Management.Automation|PowerShell|PipelineStateChanged|object source,System.Management.Automation.Runspaces.PipelineStateEventArgs stateEventArgs|METHOD|1|
